title,overview,price,in_store_price,stock,description,link,product_id,calcium hypochlorite,other ingredients,trichlor-s-triazinetrione,available chlorine,active ingredient,manufacturer sku
22421 Poolife NST Non Stabilized Swimming Pool Chlorine Tablet 20.6lb,"Use only in pools with a skimmer and skimmer basket., Skimmer basket should be free of all other water treatment., Place tablet in the empty skimmer basket., Replace with a new tablet as needed. Do not mix with other products or dissolve before use.",$185.76,$171.99,Only 7 left in stock,Poolife NST Non Stabilized Without Conditioner Swimming Pool Chlorine Tablet 20.6lb 22421,https://bestpoolshop.com/product/poolife-nst-non-stabilized-swimming-pool-chlorine-tablet-20-6lb-22421/,36140,70.2%,29.8%,,,,22421
22422 Poolife NST Non Stabilized Swimming Pool Chlorine Tablet 44lb,"Use only in pools with a skimmer and skimmer basket., Skimmer basket should be free of all other water treatment., Place tablet in the empty skimmer basket., Replace with a new tablet as needed. Do not mix with other products or dissolve before use.",,$234.99,1 in stock,Poolife NST Non Stabilized Without Conditioner Swimming Pool Chlorine Tablet 44lb 22422,https://bestpoolshop.com/product/poolife-nst-non-stabilized-swimming-pool-chlorine-tablet-44lb-22422/,80944,70.2%,29.8%,,,,22422
Bulk 50lb 3inch Chlorine Tablets For Swimming Pools – 10 Buckets,"Do not allow this product to get damp or wet before use., Do not allow this product to contact other water treatment products., Do not use in a floaters or feeders that have been used with other dry chlorinating products., If placed in a skimmer, run the pump a minimum of 8 hours daily., Make sure skimmer is completely clean and free of residue from other water treatment products before putting this product in the skimmer., Do not use with other tablets or sticks in the same skimmer, floater, or feeder., Do not permit tablets to contact plastic pool linings or metal objects., Do not throw tablets directly into pool.",,$1500.00,2 in stock,Swimming Pool 3 inch Stabilized Chlorine Tablets 50lb Bucket – 10 Buckets,https://bestpoolshop.com/product/50lb-3inch-chlorine-tablets-for-swimming-pools-10-buckets-2/,110412,,1%,99%,90%,,
CVBR004 Clearview Bromo Bromine Brominating 1in. Tablets 4lb.,"96% Bromine, Slow dissolving, Reduced odor, Ensures safe, sanitary, and sparkling water, Sanitizer / Sanitizers",$71.99,$64.99,Only 8 left in stock,Oreq Clearview Swimming Pool and Spa Bromo Bromine Brominating 1in. Tablets Tabs for Bromine Tablets for Hot Tub Spa 4lb. CVBR004,https://bestpoolshop.com/product/clearview-bromo-bromine-brominating-1in-tablets-4lb-cvbr004/,119703,,,,,"1-Bromo-3-chloro-5,5-dimethylhydantoin – 96.0%",CVBR004
CVTLST005 ClearView Swimming Pool Spa Chlorine Chlorinating 3 inch Tablets Pucks Tabs 5 lbs.,"World’s First Low-Odor Chlorine TabsExperience cleaner, fresher pool maintenance without the overwhelming chlorine smell, thanks to Scent-Trific’s innovative low-odor formula., Full-Strength PerformanceEach tablet is formulated with 99% premium-grade Trichlor, ensuring maximum sanitizing power to keep your pool or spa safe, sanitary, and inviting., No Gummy BindersUnlike other products, Scent-Trific tablets are free of gummy binders, which means no residue or buildup to clog skimmers, chlorinators, or filters., Reduced Storage OdorEven in storage, these tabs maintain a fresher scent, making them easy to store indoors or in enclosed spaces without the usual chemical odor., Hassle-Free UseDesigned for compatibility with most automatic chlorinators and skimmers, these tabs dissolve evenly without leaving films or causing clogs., Sparkling, Crystal-Clear WaterScent-Trific Chlorine Plus Tabs not only sanitize but also ensure your pool or spa remains visually stunning with safe, clear, and balanced water.",$48.99,$41.99,Only 3 left in stock,"CVTLST005 Scent-Trific ClearView Swimming Pool Spa Chlorine Chlorinating 3 inch Tablets Pucks Tabs 5 lbs. Scent-Trific Tabs are low odor, full strength Tabs",https://bestpoolshop.com/product/cvtlst005-clearview-swimming-pool-spa-chlorine-chlorinating-3-inch-tablets-pucks-tabs-5-lbs/,137117,,,,,,CVTLST005
CVTLST010 ClearView Swimming Pool Spa Chlorine Chlorinating 3 inch Tablets Pucks Tabs 10 lbs.,"World’s First Low-Odor Chlorine TabsExperience cleaner, fresher pool maintenance without the overwhelming chlorine smell, thanks to Scent-Trific’s innovative low-odor formula., Full-Strength PerformanceEach tablet is formulated with 99% premium-grade Trichlor, ensuring maximum sanitizing power to keep your pool or spa safe, sanitary, and inviting., No Gummy BindersUnlike other products, Scent-Trific tablets are free of gummy binders, which means no residue or buildup to clog skimmers, chlorinators, or filters., Reduced Storage OdorEven in storage, these tabs maintain a fresher scent, making them easy to store indoors or in enclosed spaces without the usual chemical odor., Hassle-Free UseDesigned for compatibility with most automatic chlorinators and skimmers, these tabs dissolve evenly without leaving films or causing clogs., Sparkling, Crystal-Clear WaterScent-Trific Chlorine Plus Tabs not only sanitize but also ensure your pool or spa remains visually stunning with safe, clear, and balanced water.",$86.99,$67.99,Only 2 left in stock,"CVTLST010 Scent-Trific ClearView Swimming Pool Spa Chlorine Chlorinating 3 inch Tablets Pucks Tabs 10 lbs. Scent-Trific Tabs are low odor, full strength Tabs",https://bestpoolshop.com/product/cvtlst010-clearview-swimming-pool-spa-chlorine-chlorinating-3-inch-tablets-pucks-tabs-10-lbs/,137128,,,,,,CVTLST010
CVTS005 ClearView Swimming Pool Spa Chlorine Chlorinating 1 inch Tablets Pucks Tabs 5 lbs.,,$49.99,$42.99,In stock,Oreq ClearView Swimming Pool Spa Chlorine Chlorinating 1 inch Tablets Pucks Tabs 5 lbs. CVTS005,https://bestpoolshop.com/product/clearview-swimming-pool-spa-chlorine-chlorinating-1-inch-tablets-pucks-tabs-5-lbs-cvts005/,118986,,,,,,CVTS005
Pool Chlorine Tablets 25lb 3 inch Jumbo,,,$114.99,11 in stock,Swimming Pool 3 inch Chlorine Tablets 25lb Bucket,https://bestpoolshop.com/product/swimming-pool-3-inch-chlorine-tablets-25lb-bucket/,65656,,,,,,
Pool Chlorine Tablets 50lb for 3 inch Jumbo ClearView,"Do not allow this product to get damp or wet before use., Do not allow this product to contact other water treatment products., Do not use in a floaters or feeders that have been used with other dry chlorinating products., If placed in a skimmer, run the pump a minimum of 8 hours daily., Make sure skimmer is completely clean and free of residue from other water treatment products before putting this product in the skimmer., Do not use with other tablets or sticks in the same skimmer, floater, or feeder., Do not permit tablets to contact plastic pool linings or metal objects., Do not throw tablets directly into pool.",,$179.99,8 in stock,Swimming Pool 3 inch Stabilized Chlorine Tablets 50lb Bucket,https://bestpoolshop.com/product/50lb-3inch-chlorine-tablets-for-swimming-pools/,80282,,1%,99%,90%,,
42104 Swimming Pool Chlorine Chlorinating 1 inch Tablets Pucks Tabs 5 lbs.,"Four one-half ounce tablets per 10,000 gallons of water per day or as need to maintain chlorine level of 1-4 ppm",$64.99,,Out of stock,Poolife Small 1 inch Swimming Pool and Spa Chlorinating Tablets 5 lbs. 42104,https://bestpoolshop.com/product/poolife-small-1-inch-chlorinating-tablets-5-lbs-42104/,92700,,,,,,42104
