title,overview,price,stock,description,link,manufacturer sku,size,brand
"AB 3"" Tabs 50 lb | 40631A","Applied Biochemists 3"" Tablets",$284.95,Out of stock,"Applied Biochemists® 3” TabletsSlow dissolving, 3” stabilized chlorinating tablets contain 90% available chlorine to effectively sanitize and maintain consistent chlorine levels.When using 3” Tablets, shock treat at least once a week using Applied Biochemists® Power Blast 70 GranularFor best results, add tablets to a new, clean skimmer, floater or automatic feederTest the chlorine and pH levels at least twice a week and adjust as needed",https://www.freshpoolsupply.com/chemical/chlorine/ab-3-tabs-50-lbalr.html,40631A,50 lb,APPLIED BIO
Floating Chlorinator | 58470-110-690,Floating Chemical Dispenser For 3In Tablets,$15.95,In stock,,https://www.freshpoolsupply.com/chemical/chlorine/floating-chlorinatordjh.html,58470-110-690,,CMP
"Scent-Trific 3"" Jumbo Tab 35lb Box of 70 | CVTLSTCR035","ClearView Scent-Trific Tabs Full Strength, Low Odor Chlorine Tabs Features: – 99% premium grade Trichlor – World’s first low odor chlorine in a floral fresh scent package – Individually wrapped 8  Oz. tab – No gummy binders Benefits: – Reduced store odor – No film or clogging of skimmers, chlorinators or filters – Ensures safe, sanitary, sparkling water",$359.95,Out of stock,"Scent-Trific Jumbo Tabs 3Scent-Trific Chlorine Plus Tabs are an advanced, low odor, full strength, chlorine technology. No other tab delivers more!Description•	Worlds first low odor chlorine in a floral fresh scent package•	Full Strength•	Low Odor•	99% premium grade Trichlor•	No gummy binders•	Reduced store odor•	No film or clogging of skimmers, chlorinators, or filters•	Ensures safe, sanitary, sparkling water•	Sanitizer / Sanitizers",https://www.freshpoolsupply.com/chemical/chlorine/scent-trific-3-jumbo-tab-35lb-box-of-70ccq.html,CVTLSTCR035,8  Oz,OREQ
Shock & Swim 15 1 lb 12pk | CVCF001PK12,Shock & Swim 15 1 lb 12pk,$59.95,Out of stock,"Chlor Free Shock &amp; Swim 15Part: CVCF001PK12Non-chlorine shock oxidizer removes organic contaminants and improves water clarity.Description•	Active Ingredient: 45% Potassium Monopersulfate•	Removes chloramines•	Safe with Chlorine, Bromine, and copper/silver sanitizer systems•	Will not raise Chlorine to unsafe levels•	Re-enter pool as quickly as 15 minutes after application•	Restores sparkle and clarity to dull water•	Will not bleach or fade vinyl liners•	Shock/shocks",https://www.freshpoolsupply.com/chemical/chlorine/shock-swim-15-1-lb-12pkcmz.html,CVCF001PK12,12 lb,OREQ
Shock & Swim 15 50 lb | CVCF050,"ClearView Shock & Swim 15, Chlorine Free Shock, 50lb",$220.95,In stock,"Chlor Free Shock &amp; Swim 15Part: CVCF050Non-chlorine shock oxidizer removes organic contaminants and improves water clarity.Description•	Active Ingredient: 45% Potassium Monopersulfate•	Removes chloramines•	Safe with Chlorine, Bromine, and copper/silver sanitizer systems•	Will not raise Chlorine to unsafe levels•	Re-enter pool as quickly as 15 minutes after application•	Restores sparkle and clarity to dull water•	Will not bleach or fade vinyl liners•	Shock/shocks",https://www.freshpoolsupply.com/chemical/chlorine/shock-swim-15-50-lbehc.html,CVCF050,50 lb,OREQ
Frog Chlorinator  | 8710,Frog Chlorinator,$12.95,In stock,,https://www.freshpoolsupply.com/chemical/chlorine/frog-chlorinator-oxr.html,8710,,SWIMLINE
Shimmer N' Shock DiChlor 5 lb | CVDB005,ClearView Shimmer n Shock Di-Chlor Granular Shock 5Lb,$41.95,Out of stock,Shimmer-N' ShockPart: Multiple - CVDB005Chlorine-based shock treatment to control bacteria and algae.Description•	Active Ingredient: 99% Sodium Dichlor•	No pre-dissolving•	Completely soluble•	No residue•	Will not cause pH bounce•	Economical shock treatment•	Restores sparkle and clarity to dull water•	Perfect for vinyl-lined or above ground pools•	Shock/shocks,https://www.freshpoolsupply.com/chemical/chlorine/shimmer-n-shock-dichlor-5-lbcqq.html,CVDB005,5 lb,OREQ
Shimmer N' Shock DiChlor 1 lb | CVDB001,ClearView Shimmer n Shock Di-Chlor Granular Shock 1lb,$9.95,Out of stock,Shimmer-N' ShockPart: Multiple - CVDB001Chlorine-based shock treatment to control bacteria and algae.Description•	Active Ingredient: 99% Sodium Dichlor•	No pre-dissolving•	Completely soluble•	No residue•	Will not cause pH bounce•	Economical shock treatment•	Restores sparkle and clarity to dull water•	Perfect for vinyl-lined or above ground pools•	Shock/shocks,https://www.freshpoolsupply.com/chemical/chlorine/shimmer-n-shock-dichlor-1-lbpyw.html,CVDB001,1 lb,OREQ
"Scent-Trific 3"" Jumbo Tab  | CVTLSTCR","ClearView Scent-Trific Tabs Full Strength, Low Odor Chlorine Tabs Features: – 99% premium grade Trichlor – World’s first low odor chlorine in a floral fresh scent package – Individually wrapped 8  Oz. tab – No gummy binders Benefits: – Reduced store odor – No film or clogging of skimmers, chlorinators or filters – Ensures safe, sanitary, sparkling water",$5.95,In stock,"Scent-Trific Jumbo Tabs 3Scent-Trific Chlorine Plus Tabs are an advanced, low odor, full strength, chlorine technology. No other tab delivers more!Description•	Worlds first low odor chlorine in a floral fresh scent package•	Full Strength•	Low Odor•	99% premium grade Trichlor•	No gummy binders•	Reduced store odor•	No film or clogging of skimmers, chlorinators, or filters•	Ensures safe, sanitary, sparkling water•	Sanitizer / Sanitizers",https://www.freshpoolsupply.com/chemical/chlorine/scent-trific-3-jumbo-tab-znn.html,CVTLSTCR,8  Oz,OREQ
Algaecure 25 lb | CVTC025,"ClearView Algaecure Pail, 25 Lb",$206.95,Out of stock,"AlgaecurePart: CVTC025Algaecure can be used as a super chlorinator and effective algaecide for black algae in white plaster pools, leaving safe, sanitary, sparkling water.Description•	Active Ingredient: 99% Trichlor•	Can be used as a super chlorinator•	Effective algaecide/algaecides for black algae in white plaster pools•	Ensures safe, sanitary, sparkling clean water",https://www.freshpoolsupply.com/chemical/chlorine/algaecure-25-lbrrm.html,CVTC025,25 lb,OREQ
AB Granular Dichlor 50 lb | 40697A,Applied Biochemists Granular Chlorine,$356.95,Out of stock,"Applied Biochemists® Granular ChlorineThis stabilized and concentrated formula contains 56% available chlorine. When used as directed, it effectively controls bacteria and algae.Compatible with chlorine systems",https://www.freshpoolsupply.com/chemical/chlorine/ab-granular-dichlor-50-lbloq.html,40697A,50 lb,APPLIED BIO
Shock & Swim 15 1 lb | CVCF001,"ClearView Shock & Swim 15, Chlorine Free Shock, 1lb",$5.95,Out of stock,"Chlor Free Shock &amp; Swim 15Part: CVCF001Multiple - See DescriptionNon-chlorine shock oxidizer removes organic contaminants and improves water clarity.Description•	Active Ingredient: 45% Potassium Monopersulfate•	Removes chloramines•	Safe with Chlorine, Bromine, and copper/silver sanitizer systems•	Will not raise Chlorine to unsafe levels•	Re-enter pool as quickly as 15 minutes after application•	Restores sparkle and clarity to dull water•	Will not bleach or fade vinyl liners•	Shock/shocks",https://www.freshpoolsupply.com/chemical/chlorine/shock-swim-15-1-lbvar.html,CVCF001,1 lb,OREQ
PL Rapid Shock [55x 1 lb] | 22250,Poolife Rapid Shock [55x 1 lb],$284.95,Out of stock,"Poolife™ Rapid Shock™ Shock TreatmentQuickly brings chlorine levels into balance after heavy pool usage and after rain or windstorms. It works fast to rid the pool water of contaminants and keep it ready for a refreshing, clean swim.•	After a good pool party—or a good rain or windstorm—contaminants can build up in your pool water•	Poolife™ Rapid Shock works fast to clear contaminants, so your pool water is ready for your next clean, refreshing swim•	Cal Hypo formula quickly brings chlorine levels into balance without adding additional cyanuric acid (CYA)•	Use Poolife™ Rapid Shock to shock treat your pool water once a week—no need to pre-mix•	For best results, test and balance your pool water then follow the easy step-by-step, on-pack instructions to shock treat•	Active ingredient: 68% Calcium Hypochlorite (Cal Hypo)",https://www.freshpoolsupply.com/chemical/chlorine/pl-rapid-shock-55x-1-lb-cnh.html,22250,55 lb,POOLIFE
"Spa Chlorinator 1"" Tabs | 27052-019-000",Chlorinator Floating Spa Disinfector Bottom Load; Blue,$16.95,In stock,,https://www.freshpoolsupply.com/chemical/chlorine/spa-chlorinator-1-tabsaor.html,27052-019-000,,CMP
PL Non Chlorine Oxidizer 1 lb 24pk | 22102PK24,Poolife Non Chlorine Oxidizer 1 lb 24pk,$186.95,Out of stock,,https://www.freshpoolsupply.com/chemical/chlorine/pl-non-chlorine-oxidizer-1-lb-24pkasm.html,22102PK24,24 lb,POOLIFE
PL MPT Tabs 4lb | 42120,Poolife MPT Extra,$50.95,Out of stock,,https://www.freshpoolsupply.com/chemical/chlorine/pl-mpt-tabs-4lbzrf.html,42120,4 lb,POOLIFE
