title,overview,price,stock,description,link
Pool Season Chlorinating Tablets Wrapped - 3 Inch -  50 Lb. Bucket,3 inch wrapped tablets | 90% available chlorine | Sun protected for extended life,$277.33,209 in stock,"Description The Pool Season Chlorinating Tablets are wrapped 3 inches tablets and come in a 50 pound bucket.  Each tablet weighs 8 ounces. These tablets are concentrated and stabilized and have 90% available chlorine. They are sun protected for extended chlorine life. The tablets are slow dissolving and kill bacteria, destroy organic contaminants, and control algae. Active Ingredient: 99%. For use in automatic chlorinators, floaters, and skimmers.Restrictions: This product cannot be sold or shipped to these states: Colorado, Hawaii, D.C., and Oregon product category: Chlorine poolweb item #: HGH-50-3750 cross reference #: 47251280 manufacturer: Pool Season shipping weight: 52.0 lb",https://www.poolweb.com/products/pool-season-chlorinating-tablets-wrapped-3-inch-50-lb-bucket
Pool Season Chlorinating Tablets Wrapped - 3 Inch -  25 Lb. Bucket,3 inch wrapped tablets | 90% available chlorine | Sun protected for extended life,$147.01,225 in stock,"Description The Pool Season Chlorinating Tablets are wrapped 3 inches tablets and come in a 25 pound bucket.  Each tablet weighs 8 ounces. These tablets are concentrated and stabilized and have 90% available chlorine. They are sun protected for extended chlorine life. The tablets are slow dissolving and kill bacteria, destroy organic contaminants, and control algae. Active Ingredient: 99%. For use in automatic chlorinators, floaters, and skimmers.Restrictions: This product cannot be sold or shipped to these states: Colorado, Hawaii, D.C., and Oregon product category: Chlorine poolweb item #: HGH-50-3725 cross reference #: 47251270 manufacturer: Pool Season shipping weight: 27.0 lb",https://www.poolweb.com/products/pool-season-chlorinating-tablets-wrapped-3-inch-25-lb-bucket
Pool Season Chlorinating Tablets Wrapped - 3 Inch -  8 Lb. Pail,3 inch wrapped tablets | 90% available chlorine | Sun protected for extended life,$79.82,200 in stock,"Description The Pool Season Chlorinating Tablets are wrapped 3 inches tablets and come in an 8 pound pail. Each tablet weighs 8 ounces. These tablets are concentrated and stabilized and have 90% available chlorine. They are sun protected for extended chlorine life. The tablets are slow dissolving and kill bacteria, destroy organic contaminants, and control algae. Active Ingredient: 99%. For use in automatic chlorinators, floaters, and skimmers.Restrictions: This product cannot be sold or shipped to these states: Colorado, Hawaii, D.C., and Oregon product category: Chlorine poolweb item #: HGH-50-3708 cross reference #: 47251260 manufacturer: Pool Season shipping weight: 10.0 lb",https://www.poolweb.com/products/pool-season-chlorinating-tablets-wrapped-3-inch-8-lb-pail
Pool Season Non-Chlorine Shock Oxidizer - 1 Lb. Pouch,Non-chlorine oxidizer will not raise chlorine levels | Rapid dissolving product | Ideal for all pool surfaces | Swimmers can return to pool 15 minutes after treatment,$13.85,248 in stock,"Description The Pool Season Non-Chlorine Shock Oxidizer comes in a 1 pound pouch. Contaminants such as sweat, skin cells, and oils are removed effectively by this oxygen-based non-chlorine shock. It will restore clarity and sparkle to your swimming pool. Plus, swimmers can return to the water within 15 minutes of treatment. The Pool Season Non-Chlorine Shock Oxidizer is perfect for all pool surfaces. Intial Treatment: When the pool is not in use, use 2 lbs. per 10,000 gallons of water. Add product by broadcasting the required amount in the deep end of the pool while the filter is running. Regular Treatment: Use 1 lb. per 10,000 gallons of water using the same application methods as the initial treatment. When temperatures reach 96 degrees F or pool is in heavy use, the treatment should be twice weekly. product category: Chlorine poolweb item #: HGH-50-2849 cross reference #: 47251330 manufacturer: Pool Season shipping weight: 2.0 lb",https://www.poolweb.com/products/pool-season-non-chlorine-shock-oxidizer-1-lb-pouch
Pool Season Chlorinating Concentrate - 50 Lb. Bucket,Stabilized chlorinating concentrate | Totally soluble and quick dissolving | 56% available chlorine | Kill algae and will rid algae spots | Can use as a primary sanitizer or shock treatment | Safe for all pool surfaces,$334.29,214 in stock,"Description This is a 50 pound bucket of Pool Season Chlorinating Concentrate in granular form with 56% available chlorine. The stabilized chlorinating concentrate is totally soluble and quick dissolving. This algae-killer is effective for use as a primary sanitizer or shock treatment. The Pool Season Chlorinating Concentrate is ideal for all types of pool surfaces. Superchlorination: Broadcast 1 lb. per 10,000 gallons of water directly into the deep end of the pool. To prevent damage to any pool surface, use a pool brush to disperse any granules that may have settled to the bottom. (Never allow undissolved product to rest in contact with bleachable pool surfaces.) product category: Chlorine poolweb item #: HGH-50-2650 cross reference #: 47251320 manufacturer: Pool Season shipping weight: 52.0 lb",https://www.poolweb.com/products/pool-season-chlorinating-concentrate-50-lb-bucket
Pool Season Chlorinating Concentrate - 2 Lb. Jar,Stabilized chlorinating concentrate | Totally soluble and quick dissolving | 56% available chlorine | Kill algae and will rid algae spots | Can use as a primary sanitizer or shock treatment | Safe for all pool surfaces,$31.30,219 in stock,"Description This is a 2 pound jar of Pool Season Chlorinating Concentrate in granular form with 56% available chlorine. The stabilized chlorinating concentrate is totally soluble and quick dissolving. This algae-killer is effective for use as a primary sanitizer or shock treatment. The Pool Season Chlorinating Concentrate is ideal for all types of pool surfaces. Superchlorination: Broadcast 1 lb. per 10,000 gallons of water directly into the deep end of the pool. To prevent damage to any pool surface, use a pool brush to disperse any granules that may have settled to the bottom. (Never allow undissolved product to rest in contact with bleachable pool surfaces.) product category: Chlorine poolweb item #: HGH-50-2602 cross reference #: 47251300 manufacturer: Pool Season shipping weight: 4.0 lb",https://www.poolweb.com/products/pool-season-chlorinating-concentrate-2-lb-jar
Cal-Hypo Shockwave - 1 Lb. Pouch,Concentrated chlorinating agent | Chlorinating granules for multiple swimming pool uses | Kills bacteria and controls algae | Also treats whitefly and insect residues,$10.84,210 in stock,"Description The one pound bag of Cal-Hypo Shockwave is a fast-acting c calcium hypochlorite with 68% available chlorine. This granular calcium hypochlorite kills bacteria, controls algae, and destroys organic contaminants. It is a concentrated chlorinating agent for multiple swimming pool uses. product category: Chlorine poolweb item #: AWC-50-5041 manufacturer: Pool Season shipping weight: 3.0 lb",https://www.poolweb.com/products/cal-hypo-shockwave-1-lb-pouch
Pool Season Chlorinating Concentrate - 25 Lb. Pail,Stabilized chlorinating concentrate | Totally soluble and quick dissolving | 56% available chlorine | Kill algae and will rid algae spots | Can use as a primary sanitizer or shock treatment | Safe for all pool surfaces,$199.95,207 in stock,"Description This is a 25 pound pail of Pool Season Chlorinating Concentrate in granular form with 56% available chlorine. The stabilized chlorinating concentrate is totally soluble and quick dissolving. This algae-killer is effective for use as a primary sanitizer or shock treatment. The Pool Season Chlorinating Concentrate is ideal for all types of pool surfaces. Superchlorination: Broadcast 1 lb. per 10,000 gallons of water directly into the deep end of the pool. To prevent damage to any pool surface, use a pool brush to disperse any granules that may have settled to the bottom. (Never allow undissolved product to rest in contact with bleachable pool surfaces.) product category: Chlorine poolweb item #: HGH-50-2625 cross reference #: 47251310 manufacturer: Pool Season shipping weight: 27.0 lb",https://www.poolweb.com/products/pool-season-chlorinating-concentrate-25-lb-pail
Pool Season Chlorinating Concentrate - 1 Lb. Pouch,Stabilized chlorinating concentrate | Totally soluble and quick dissolving | 56% available chlorine | Kill algae and will rid algae spots | Can use as a primary sanitizer or shock treatment | Safe for all pool surfaces,$14.42,234 in stock,"Description This is a 1 pound pouch of Pool Season Chlorinating Concentrate in granular form with 56% available chlorine. The stabilized chlorinating concentrate is totally soluble and quick dissolving. This algae-killer is effective for use as a primary sanitizer or shock treatment. The Pool Season Chlorinating Concentrate is ideal for all types of pool surfaces. Superchlorination: Broadcast 1 lb. per 10,000 gallons of water directly into the deep end of the pool. To prevent damage to any pool surface, use a pool brush to disperse any granules that may have settled to the bottom. (Never allow undissolved product to rest in contact with bleachable pool surfaces.) product category: Chlorine poolweb item #: HGH-50-2501 cross reference #: 47251290 manufacturer: Pool Season shipping weight: 2.0 lb",https://www.poolweb.com/products/pool-season-chlorinating-concentrate-1-lb-pouch
Shock 68% Calcium Hypochlorite - 1 Lb. Bag,68 % Calcium Hypochlorite | Strong oxidizing agent | Can be used with chlorine and salt water pools,$7.82,22996 in stock,"Description This is a 1 pound bag of chlorine used for effective superchlorination. This calcium hypochlorite product is a dry, granular, fast-dissolving product. Calcium hypochlorite destroys organic waste, controls algae, and kills bacteria. Active Ingredient of this Omega Shock: 68% Calcium Hypochlorite and 32% Other Ingredients. Directions for Adding Omega Shock to your Pool: Shock should be used at start-up, once a week, or as necessary to maintain your pool chemistry. First, check and adjust pH between 7.2 and 7.6. Add this product when no bathers are present. Scatter 1 or 2 ounces of shock per 1,000 gallons of water to yield an available chlorine residual of 5 to 10 ppm. Do not enter the pool until the chlorine residual has dropped to a level of 2 ppm as determined by a suitable test kit. product category: Chlorine poolweb item #: CM1901-12 cross reference #: OMGQ12 manufacturer: Poolweb.com shipping weight: 13.0 lb",https://www.poolweb.com/products/hock-68-calcium-hypochlorite-case-of-12-1-lb-bags
